MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211005,High Plains,15.43,20.38,21.01,23.97,18.74,0.46,10/5/2021,10/11/2021,2
20211005,West,1.95,8.18,14.5,22.71,34.76,17.9,10/5/2021,10/11/2021,2
20210928,High Plains,14.24,22.18,19.89,25.11,17.71,0.86,9/28/2021,10/4/2021,2
20210928,West,2.21,8.19,14.22,22.92,34.05,18.4,9/28/2021,10/4/2021,2
20210921,High Plains,16.65,22.57,19.34,24.52,16.06,0.86,9/21/2021,9/27/2021,2
20210921,West,2.59,7.76,15.16,22.43,33.78,18.28,9/21/2021,9/27/2021,2
20210914,High Plains,20.76,19.86,17.37,23.18,17.77,1.06,9/14/2021,9/20/2021,2
20210914,West,4.17,6.57,14.45,21.67,34.58,18.57,9/14/2021,9/20/2021,2
20210907,High Plains,24.56,16.12,16.91,22.52,18.56,1.34,9/7/2021,9/13/2021,2
20210907,West,5.57,5.41,14.53,21.3,34.53,18.66,9/7/2021,9/13/2021,2
20210831,High Plains,19.7,19.02,18.95,20.92,19.83,1.58,8/31/2021,9/6/2021,2
20210831,West,5.74,4.33,13.81,22.36,34.47,19.27,8/31/2021,9/6/2021,2
20210824,High Plains,20.46,16.71,19.19,20.2,20.78,2.66,8/24/2021,8/30/2021,2
20210824,West,5.74,4.43,13.29,22.35,34.34,19.85,8/24/2021,8/30/2021,2
20210817,High Plains,21.96,15.65,18.53,19.02,21.35,3.49,8/17/2021,8/23/2021,2
20210817,West,5.63,4.12,12.49,20.22,35.64,21.9,8/17/2021,8/23/2021,2
20210810,High Plains,23.85,15.93,16.92,19.12,20.92,3.25,8/10/2021,8/16/2021,2
20210810,West,6.12,3.75,9.72,22.77,36.04,21.6,8/10/2021,8/16/2021,2
20210803,High Plains,26.08,16.2,14.79,20.48,19.23,3.21,8/3/2021,8/9/2021,2
20210803,West,6.39,3.63,9.5,22.32,36.37,21.79,8/3/2021,8/9/2021,2
20210727,High Plains,28.07,14.58,14.15,21.25,17.33,4.61,7/27/2021,8/2/2021,2
20210727,West,5.9,3.81,10.85,20.72,36.92,21.8,7/27/2021,8/2/2021,2
20210720,High Plains,27.78,16.17,13.38,21.07,16.7,4.9,7/20/2021,7/26/2021,2
20210720,West,5.7,4.44,10.76,19.58,34.64,24.87,7/20/2021,7/26/2021,2
20210713,High Plains,26.09,19.09,13.29,22.47,14.22,4.84,7/13/2021,7/19/2021,2
20210713,West,5.72,5.13,11.34,21.07,32.17,24.58,7/13/2021,7/19/2021,2
