year,month,month_name,storage
2007,10,Oct,11871308.21935484
2007,11,Nov,11722517.443333333
2007,12,Dec,11447123.64516129
2008,1,Jan,11042769.95483871
2008,2,Feb,10847257.203448275
2008,3,Mar,10752137.070967741
2008,4,Apr,10958129.72
2008,5,May,11843505.703225806
2008,6,Jun,14087293.296666665
2008,7,Jul,15203883.819354838
2008,8,Aug,15010018.206451612
2008,9,Sep,14651254.743333334
2008,10,Oct,14334124.13548387
2008,11,Nov,14063598.513333332
2008,12,Dec,13757822.587096773
2009,1,Jan,13330618.838709677
2009,2,Feb,13043365.964285715
2009,3,Mar,12852088.551612904
2009,4,Apr,12740204.456666667
2009,5,May,13665117.277419355
2009,6,Jun,15510492.366666667
2009,7,Jul,16215969.503225807
2009,8,Aug,15920626.577419354
2009,9,Sep,15577091.963333333
2009,10,Oct,15343192.741935484
2009,11,Nov,15110511.273333333
2009,12,Dec,14698442.925806452
2010,1,Jan,14177402.119354839
2010,2,Feb,13885058.49642857
2010,3,Mar,13749340.245161291
2010,4,Apr,13678385.666666666
2010,5,May,14012956.474193549
2010,6,Jun,15328264.139999999
2010,7,Jul,15759116.532258065
2010,8,Aug,15528603.087096773
2010,9,Sep,15305141.073333332
2010,10,Oct,15316265.087096773
2010,11,Nov,15103084.653333334
2010,12,Dec,14659560.33548387
2011,1,Jan,14135317.40967742
2011,2,Feb,13493925.689285714
2011,3,Mar,13010197.296774194
2011,4,Apr,12759850.246666666
2011,5,May,13389462.796774194
2011,6,Jun,15648097.34
2011,7,Jul,18128393.487096775
2011,8,Aug,18289375.725806452
2011,9,Sep,17728992.943333335
2011,10,Oct,17412899.75483871
2011,11,Nov,17001852.220000003
2011,12,Dec,16304642.170967743
2012,1,Jan,15782046.106451614
2012,2,Feb,15544220.579310345
2012,3,Mar,15430435.348387098
2012,4,Apr,15507530.03
2012,5,May,15538776.87419355
2012,6,Jun,15505579.986666668
2012,7,Jul,14965248.264516128
2012,8,Aug,14393229.28064516
2012,9,Sep,14034924.743333334
2012,10,Oct,13813826.13548387
2012,11,Nov,13513608.063333333
2012,12,Dec,12983134.074193548
2013,1,Jan,12414625.351612903
2013,2,Feb,12036364.700000001
2013,3,Mar,11767903.232258065
2013,4,Apr,11526599.056666667
2013,5,May,11463601.496774193
2013,6,Jun,11797803.59
2013,7,Jul,11474037.883870967
2013,8,Aug,10971031.183870967
2013,9,Sep,10863918.596666666
2013,10,Oct,10918677.254838709
2013,11,Nov,10733983.176666668
2013,12,Dec,10467818.722580645
2014,1,Jan,10064858.998709677
2014,2,Feb,9684792.80392857
2014,3,Mar,9541525.376774194
2014,4,Apr,9521958.566000002
2014,5,May,10145984.516451612
2014,6,Jun,11953309.053333335
2014,7,Jul,12648531.964516127
2014,8,Aug,12432694.890322581
2014,9,Sep,12301005.603333334
2014,10,Oct,12327410.087096773
2014,11,Nov,12080144.343333334
2014,12,Dec,11724839.632258065
2015,1,Jan,11316759.067741936
2015,2,Feb,11084889.221428571
2015,3,Mar,10971692.474193549
2015,4,Apr,10882131.666666666
2015,5,May,11044842.396774193
2015,6,Jun,12351619.456666667
2015,7,Jul,13119257.180645162
2015,8,Aug,12836776.2
2015,9,Sep,12480797.526666667
2015,10,Oct,12350507.235483872
2015,11,Nov,12337162.83
2015,12,Dec,12049185.787096774
2016,1,Jan,11606986.85483871
2016,2,Feb,11309020.648275863
2016,3,Mar,11130237.964516127
2016,4,Apr,10961821.253333334
2016,5,May,11413382.851612903
2016,6,Jun,13011147.256666666
2016,7,Jul,13794077.716129031
2016,8,Aug,13334407.50967742
2016,9,Sep,12925145.286666667
2016,10,Oct,12758563.887096774
2016,11,Nov,12440548.583333334
2016,12,Dec,12047220.019354839
2017,1,Jan,11564223.061290322
2017,2,Feb,11251193.57142857
2017,3,Mar,11222988.91935484
2017,4,Apr,11736760.393333334
2017,5,May,12813905.383870967
2017,6,Jun,14659710.303333335
2017,7,Jul,15461001.022580644
2017,8,Aug,15183263.116129033
2017,9,Sep,14791682.726666667
2017,10,Oct,14612182.367741935
2017,11,Nov,14421933.956666667
2017,12,Dec,14192166.04516129
2018,1,Jan,13872112.974193549
2018,2,Feb,13508982.385714287
2018,3,Mar,13147616.893548386
2018,4,Apr,12809622.389999999
2018,5,May,12732334.564516129
2018,6,Jun,12881256.4
2018,7,Jul,12414834.609677419
2018,8,Aug,11777189.887096774
2018,9,Sep,11249655.873333333
2018,10,Oct,10955655.883870967
2018,11,Nov,10627141.796666665
2018,12,Dec,10293903.738709677
2019,1,Jan,9831295.459999999
2019,2,Feb,9436475.679285714
2019,3,Mar,9159135.801935485
2019,4,Apr,9035193.350666666
2019,5,May,9802448.791612905
2019,6,Jun,11585661.860000001
2019,7,Jul,13665103.241935484
2019,8,Aug,13820990.264516128
2019,9,Sep,13436882.22
2019,10,Oct,13144783.425806452
2019,11,Nov,12941152.47
2019,12,Dec,12723329.977419356
2020,1,Jan,12433378.687096775
2020,2,Feb,12141845.886206897
2020,3,Mar,11898952.638709677
2020,4,Apr,11750840.483333332
2020,5,May,11924488.667741936
2020,6,Jun,12679143.283333333
2020,7,Jul,12580568.958064515
2020,8,Aug,12033074.551612904
2020,9,Sep,11538661.323333332
2020,10,Oct,11163720.474193549
2020,11,Nov,10793578.3
